© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(B-H p-value)	Ratio	z-score	Molecules
Gα12/13 Signaling	3.39E00	2.27E-01	NaN	RAF1,LPAR4,RALA,F2R,PIK3R1,KRAS,IKBKB,IKBKG,NFKBIA,AKT1,LPAR2,MAPK3,CHUK,CTNNB1,RASA1,CDH13,SRC,AKT2,NRAS,GRB2,FGFR1,MAP3K1,RALB,MAPK8,FGFR2,IKBKE,BTK,CDH1,CDH2,LPAR1,CDH5,CDH8
IL-4 Signaling	3.35E00	2.55E-01	NaN	RPS6KB1,STAT6,PTPN6,AKT2,RALA,NRAS,GRB2,HLA-A,PIK3R1,FGFR1,TYK2,HLA-B,RALB,FGFR2,KRAS,INPPL1,HMGA1,NR3C1,NFATC1,MTOR,AKT1,RPS6KB2,NFATC2,INPP5K
CREB Signaling in Neurons	3.35E00	2.02E-01	NaN	RAF1,POLR2F,RALA,PDIA3,PIK3R1,GNB5,KRAS,POLR2B,CACNB3,EP300,GNB1,GTF2B,POLR2A,AKT1,MAPK3,CREB1,PRKCE,CAMK2B,POLR2I,GRIN2B,AKT2,NRAS,GRM1,GRB2,FGFR1,CACNB4,RALB,CREB3,CREBBP,TBP,ADCY6,FGFR2,POLR2H,ITPR1,CACNA1A,ATF2,POLR2G,CALM1 (includes others),POLR2E,PLCG2,CACNA2D1,GNB2,PRKACA,RPS6KA1
Non-Small Cell Lung Cancer Signaling	3.33E00	2.65E-01	NaN	TP53,CDKN2A,RAF1,AKT2,RALA,NRAS,PA2G4,GRB2,SUV39H1,PIK3R1,FGFR1,RALB,ABL1,CDK6,FGFR2,KRAS,ITPR1,AKT1,MAPK3,ERBB2,RXRA,EGFR
Thyroid Cancer Signaling	3.33E00	3.26E-01	NaN	PPARG,TP53,TCF4,NRAS,RALA,RALB,KRAS,TCF3,MYC,CDH1,MAPK3,NTRK1,RXRA,CTNNB1,TCF7L2
JAK/Stat Signaling	3.31E00	2.58E-01	NaN	STAT6,RAF1,PTPN6,AKT2,RALA,NRAS,GRB2,PIK3R1,FGFR1,RALB,TYK2,PIAS1,FGFR2,KRAS,STAT3,BCL2L1,MTOR,AKT1,PIAS4,MAPK3,PTPN1,CDKN1A,STAT5B
4-1BB Signaling in T Lymphocytes	3.3E00	3.75E-01	NaN	IKBKB,IKBKG,TRAF2,MAPK14,NFKBIA,MAPK3,MAPK8,ELP1,IKBKE,CHUK,ATF2,TRAF1
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	3.27E00	2.06E-01	NaN	APOE,APOB,PPP2CA,PPP2R2A,PIK3R1,MAP3K4,MAP3K10,IKBKB,PPP1CC,IKBKG,AKT1,NFKBIA,PPP1R12A,RHOT1,PPM1J,MAPK3,PRKCE,PPP2R2C,CHUK,NOS2,PPP1CA,AKT2,PTPN6,TNFRSF1A,GRB2,FGFR1,CREBBP,TYK2,MAP3K1,MAPK8,FGFR2,IKBKE,PPP2CB,PPP2R1A,ALB,MAPK14,PLCG2,PPP2R2B,PPP2R1B,CLU
Apelin Endothelial Signaling Pathway	3.27E00	2.32E-01	NaN	RAF1,RALA,ICAM1,PRKAB1,SMAD3,PIK3R1,KRAS,HIF1A,NOS3,MTOR,AKT1,SP1,MAPK3,RPS6KB2,PRKCE,RPS6KB1,AKT2,VCAM1,NRAS,APLNR,HDAC4,GRB2,FGFR1,RALB,MAPK8,ADCY6,FGFR2,HDAC5,CALM1 (includes others)
RANK Signaling in Osteoclasts	3.22E00	2.45E-01	NaN	RAF1,SRC,AKT2,GRB2,PIK3R1,FGFR1,MAP3K1,MAPK8,FGFR2,IKBKE,MAP3K4,NFATC1,TRAF6,CALM1 (includes others),MAP3K10,IKBKB,TRAF2,IKBKG,MAPK14,AKT1,NFKBIA,CBL,MAPK3,NFATC2,CHUK
IL-7 Signaling Pathway	3.17E00	2.53E-01	NaN	FYN,FOXO4,AKT2,GRB2,PIK3R1,FGFR1,FGFR2,GSK3A,BAX,IGHG1,BCL6,FOXG1,NFATC1,BAK1,BCL2,MYC,MAPK14,AKT1,MAPK3,LYN,GSK3B,STAT5B,CDK2
RAR Activation	3.16E00	2.05E-01	NaN	CSNK2A1,PIK3R1,SMAD3,ARID2,RPL7A,SMARCA4,PSMC5,PTEN,EP300,NR2F1,KAT2B,AKT1,PRKCE,SMARCC2,NCOR1,CSNK2B,STAT5B,SMAD1,SMAD2,SRC,AKT2,PRMT2,SMAD9,MED1,ACTB,CREBBP,MAP3K1,ADCY6,MAPK8,SNW1,CSNK2A2,MAPK14,TAF4,PRKACA,NCOR2,PML,RXRA,REL,HLTF
Protein Kinase A Signaling	3.16E00	1.74E-01	NaN	ENPP6,RAF1,TGFBR1,YWHAH,PTPN23,SMAD3,MYLK2,TIMM50,GNB5,GSK3A,NOS3,PTEN,GNB1,YWHAQ,IKBKG,DUSP3,MAPK3,TDP2,GSK3B,PPP1CA,FICD,PTPN6,YWHAG,YWHAE,YWHAB,CREBBP,CREB3,YWHAZ,PTPN18,ITPR1,TCF3,PTPDC1,ATF2,H3F3A/H3F3B,PLCG2,CREM,PRKACA,GNB2,PTPRS,PTPRA,PTPN21,FLNB,TCF4,PTPN2,PDIA3,DUSP22,NFATC1,EP300,CDC25B,PPP1CC,NFKBIA,PPP1R12A,DUSP10,PTPN1,CREB1,PRKCE,CHUK,CTNNB1,PTPRN,CAMK2B,CDC25C,MAP3K1,RYR2,ADCY6,CALM1 (includes others),ADD3,NFATC2,SFN,PTPRR,TCF7L2
Melanocyte Development and Pigmentation Signaling	3.16E00	2.43E-01	NaN	RAF1,RPS6KB1,SRC,PTPN6,NRAS,RALA,GRB2,FGFR1,PIK3R1,CREBBP,CREB3,RALB,ADCY6,FGFR2,CRK,KRAS,ATF2,EP300,BCL2,PLCG2,MAPK3,CREB1,PRKACA,RPS6KB2,RPS6KA1
STAT3 Pathway	3.16E00	2.43E-01	NaN	RAF1,SRC,PTPN6,NRAS,TGFBR1,RALA,PTPN2,FGFR1,TYK2,RALB,MAPK8,FGFR2,KRAS,STAT3,IGF2R,NDUFA13,BCL2,MYC,MAP3K10,MAPK14,MAPK3,CDKN1A,NTRK1,INSR,EGFR
PKCθ Signaling in T Lymphocytes	3.14E00	2.12E-01	NaN	CD247,RAC2,FYN,RALA,HLA-A,PIK3R1,CD4,HLA-B,KRAS,MAP3K4,CACNB3,NFATC1,IKBKB,MAP3K10,IKBKG,NFKBIA,MAPK3,CHUK,CAMK2B,NRAS,GRB2,FGFR1,CACNB4,MAP3K1,RALB,MAPK8,FGFR2,IKBKE,CD3D,CACNA1A,GRAP2,PLCG2,ZAP70,CACNA2D1,NFATC2
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	3.12E00	2.5E-01	NaN	RPS6KB1,GAB2,FYN,RAC2,SRC,ACTR2,AKT2,ACTB,PIK3R1,CRK,FCGR1A,PTEN,AKT1,CBL,ACTA2,EZR,MAPK3,RPS6KB2,LYN,PRKCE,RAB11A,ACTC1,ACTA1
IL-6 Signaling	3.12E00	2.24E-01	NaN	RAF1,CSNK2A1,RALA,PIK3R1,KRAS,IL1R2,IKBKB,IKBKG,NFKBIA,AKT1,MAPK3,CHUK,CSNK2B,AKT2,NRAS,TNFRSF1A,GRB2,FGFR1,RALB,MAPK8,FGFR2,IKBKE,STAT3,TRAF6,COL1A1,CSNK2A2,TRAF2,MAPK14,MAP4K4,HSPB1
Role of NFAT in Cardiac Hypertrophy	3.08E00	1.96E-01	NaN	RAF1,TGFBR1,RALA,PDIA3,PIK3R1,GNB5,HDAC10,KRAS,CACNB3,EP300,GNB1,HDAC6,AKT1,MAPK3,HDAC11,PRKCE,GSK3B,CAMK2B,SRC,HDAC9,AKT2,NRAS,HDAC4,HDAC2,GRB2,FGFR1,CACNB4,RALB,HDAC1,MAP3K1,ADCY6,MAPK8,FGFR2,ITPR1,CACNA1A,HDAC5,CALM1 (includes others),MAPK14,HDAC3,PLCG2,CACNA2D1,GNB2,PRKACA,RCAN2
Osteoarthritis Pathway	3.07E00	1.98E-01	NaN	TCF4,FN1,TGFBR1,PRKAB1,SMAD3,CTNNA1,HIF1A,EP300,IL1R2,HMGB1,MTOR,SP1,CREB1,CHUK,CASP8,NOS2,CTNNB1,SMAD1,ITGA4,ITGB1,PPARG,SMAD2,SPP1,HDAC4,SMAD9,CASP3,TNFRSF1A,FGFR1,CREB3,CREBBP,ITGA5,TCF3,ATF2,HDAC3,S100A9,SIRT1,PTH1R,RBPJ,NOTCH1,LRP1,TCF7L2,CASP7
Tight Junction Signaling	3.05E00	2.1E-01	NaN	TGFBR1,PPP2CA,PPP2R2A,VAPA,CTNNA1,AFDN,PTEN,SMURF1,AKT1,LLGL1,PPM1J,CGN,CEBPA,CSTF2,PPP2R2C,STX4,CTNNB1,ACTC1,ACTA1,NAPB,AKT2,TIAM1,TNFRSF1A,TJP1,ACTB,CASK,PPP2CB,PPP2R1A,ACTA2,NUDT21,PPP2R2B,PRKACA,SPTAN1,PATJ,PPP2R1B
Calcium Signaling	3.05E00	1.99E-01	NaN	TNNT1,HDAC10,CACNB3,ATP2A2,NFATC1,EP300,HDAC6,HDAC11,MAPK3,CREB1,CHRNA7,TPM4,ACTC1,ACTA1,CAMK2B,CALR,GRIN2B,HDAC9,TP63,HDAC4,HDAC2,CACNB4,CREB3,CREBBP,CHRNA9,RYR2,HDAC1,MCU,ITPR1,CACNA1A,ATF2,ATP2B2,HDAC5,CALM1 (includes others),HDAC3,ACTA2,HTR3A,CACNA2D1,PRKACA,NFATC2,RCAN2
Renal Cell Carcinoma Signaling	3E00	2.5E-01	NaN	RAPGEF1,RAF1,UBB,AKT2,RALA,NRAS,GRB2,PIK3R1,FGFR1,CREBBP,RALB,FGFR2,KRAS,CRK,HIF1A,ELOB,EP300,AKT1,CUL2,MAPK3,UBC,VHL
Endoplasmic Reticulum Stress Pathway	3E00	4.29E-01	NaN	CALR,TRAF2,HSP90B1,CASP3,ERN1,MAPK8,EIF2S1,HSPA5,CASP7
Gap Junction Signaling	2.99E00	1.99E-01	NaN	RAF1,TUBA1B,RALA,PDIA3,PIK3R1,KRAS,TUBB,TUBB2B,AKT1,TUBA8,SP1,MAPK3,PRKCE,TUBB4A,TUBA1C,TUBA3E,CTNNB1,ACTC1,ACTA1,EGFR,SRC,AKT2,NRAS,GJC2,TJP1,GRB2,TUBB4B,FGFR1,ACTB,TUBG1,RALB,ADCY6,TUBA4A,FGFR2,ITPR1,TUBA1A,LPAR1,ACTA2,PLCG2,PRKACA
Regulation of the Epithelial-Mesenchymal Transition Pathway	2.96E00	2E-01	NaN	RAF1,TCF4,TGFBR1,RALA,PSENEN,AXIN1,PIK3R1,SMAD3,NCSTN,KRAS,PSEN2,HIF1A,SMURF1,FGF13,AKT1,MAPK3,GSK3B,CTNNB1,EGFR,SMAD2,AKT2,NRAS,JAG2,GRB2,FGFR1,RALB,TYK2,FGFR2,STAT3,TCF3,CDH2,CDH1,APH1A,ZEB2,APH1B,RBPJ,NOTCH1,TCF7L2,PSEN1
Neurotrophin/TRK Signaling	2.95E00	2.53E-01	NaN	RAF1,RALA,NRAS,SPRY1,GRB2,PIK3R1,FGFR1,CREBBP,CREB3,RALB,MAPK8,FGFR2,KRAS,ATF2,EP300,AKT1,SPRY2,MAPK3,CREB1,NTRK1,RPS6KA1
HGF Signaling	2.94E00	2.27E-01	NaN	CDKN2A,RAF1,RAPGEF1,RALA,PIK3R1,KRAS,MAP3K4,MAP3K10,AKT1,MAPK3,PRKCE,ITGA4,ITGB1,AKT2,NRAS,GRB2,FGFR1,RALB,MAP3K1,MAPK8,ITGA5,FGFR2,STAT3,ATF2,PLCG2,CDKN1A,CDK2
Paxillin Signaling	2.94E00	2.27E-01	NaN	RALA,ARF1,ARHGEF7,PIK3R1,KRAS,CRK,ITGAV,ITGB4,ACTC1,ACTN1,ITGB5,ACTA1,ITGA4,ITGB1,SRC,NRAS,GRB2,FGFR1,ACTB,ACTN2,RALB,MAPK8,ITGA5,FGFR2,MAPK14,ACTA2,ACTN4
iNOS Signaling	2.94E00	3.11E-01	NaN	CREBBP,TYK2,IKBKE,HMGA1,IRAK1,TRAF6,IKBKB,CALM1 (includes others),IKBKG,NFKBIA,MAPK14,CHUK,NOS2,IRAK2
p38 MAPK Signaling	2.94E00	2.27E-01	NaN	TGFBR1,PLA2G10,FAS,EP300,IRAK1,MYC,IL1R2,CDC25B,DUSP10,MKNK1,CREB1,RPS6KB2,TP53,RPS6KB1,TNFRSF1A,CREB3,CREBBP,PLA2G2A,ATF2,TRAF6,TRAF2,MAPK14,H3F3A/H3F3B,MAPT,RPS6KA1,HSPB1,IRAK2
Melanoma Signaling	2.93E00	2.79E-01	NaN	TP53,CDKN2A,RAF1,AKT2,RALA,NRAS,GRB2,PIK3R1,FGFR1,RALB,FGFR2,KRAS,PTEN,CDH1,AKT1,MAPK3,CDKN1A
IL-17A Signaling in Airway Cells	2.91E00	2.56E-01	NaN	AKT2,GRB2,PIK3R1,FGFR1,TYK2,MAPK8,FGFR2,IKBKE,STAT3,IL17RA,PTEN,TRAF6,IKBKB,IKBKG,MAPK14,AKT1,NFKBIA,MAPK3,GSK3B,CHUK
Activation of IRF by Cytosolic Pattern Recognition Receptors	2.75E00	2.7E-01	NaN	TRAF3,PPIB,CREBBP,MAPK8,IKBKE,TBK1,ADAR,ISG15,ATF2,TRAF6,IKBKB,IKBKG,NFKBIA,SIKE1,ELP1,CHUK,PIN1
TR/RXR Activation	2.74E00	2.35E-01	NaN	AKT2,GRB2,MED1,PIK3R1,FGFR1,FGFR2,PCK1,HIF1A,EP300,NCOA4,MTOR,AKT1,HDAC3,TBL1Y,SREBF1,SREBF2,SLC16A2,NCOR1,ACACA,NCOR2,RXRA,RCAN2,SYT12
Glioblastoma Multiforme Signaling	2.71E00	2.02E-01	NaN	CDKN2A,TSC1,RAF1,RALA,AXIN1,PDIA3,PIK3R1,NF2,KRAS,PTEN,MYC,MTOR,AKT1,RHOT1,MAPK3,GSK3B,CTNNB1,EGFR,TP53,SRC,RPS6KB1,AKT2,NRAS,GRB2,FGFR1,RALB,CDK6,FGFR2,ITPR1,TCF3,NF1,PLCG2,CDKN1A,CDK2
Type I Diabetes Mellitus Signaling	2.7E00	2.25E-01	NaN	CD247,CASP3,HLA-A,TNFRSF1A,HLA-B,PIAS1,MAPK8,IKBKE,HSPD1,CD3D,FAS,IRAK1,BCL2,TRAF6,IKBKB,TRAF2,IKBKG,GAD2,MAPK14,NFKBIA,GAD1,CHUK,NOS2,CASP8,PTPRN
Methionine Degradation I (to Homocysteine)	2.69E00	3.91E-01	NaN	EEF1AKMT3,AHCYL1,SUV39H2,PRMT5,EHMT1,MAT2A,AHCYL2,MRM2,NSUN4
Erythropoietin Signaling	2.69E00	2.41E-01	NaN	RPS6KB1,RAF1,SRC,PTPN6,AKT2,RALA,NRAS,GRB2,PIK3R1,FGFR1,RALB,FGFR2,KRAS,IKBKG,AKT1,NFKBIA,CBL,PLCG2,MAPK3,PRKCE,STAT5B
Superpathway of Inositol Phosphate Compounds	2.68E00	1.86E-01	NaN	FYN,PPP1R12C,MTMR9,PTPN2,PTPN23,NUDT3,PIK3R1,IPPK,INPPL1,IGBP1,STYXL1,STYX,PPP4C,PTEN,CDC25B,SET,ATP1A1,PPP1CC,PPP1R12A,PDCD1,ERBB4,DUSP10,PTPN1,IP6K1,ERBB2,PPP1CA,PTPRN,RASA1,EGFR,PPFIA1,SRC,CDC25C,PTPN6,INPP5E,GRB2,FGFR1,SEC16A,FGFR2,ERBB3,DUSP14,DUSP13,PLCG2,PPM1H,INPP5K
3-phosphoinositide Degradation	2.58E00	2.03E-01	NaN	PPP1R12C,PTPN2,MTMR9,PTPN23,NUDT3,PTPMT1,INPPL1,IGBP1,STYXL1,STYX,PPP4C,PTEN,CDC25B,SET,PPP1CC,ATP1A1,PPP1R12A,PDCD1,DUSP10,PTPN1,PPP1CA,RASA1,PTPRN,PPFIA1,PTPN6,CDC25C,INPP5E,MTMR14,DUSP14,DUSP13,PPM1H,INPP5K
eNOS Signaling	2.54E00	1.98E-01	NaN	KNG1,LPAR4,PRKAB1,PIK3R1,HSPA1A/HSPA1B,SLC7A1,NOS3,HSPA5,HSPA4,HSP90B1,AKT1,HSP90AB1,LPAR2,STUB1,CHRNA7,PRKCE,CASP8,DNM2,AKT2,CASP3,GRB2,FGFR1,CHRNA9,HSPA9,ADCY6,FGFR2,ITPR1,HSPA8,CALM1 (includes others),LPAR1,PLCG2,PRKACA,HSP90AA1,ESR1
Role of RIG1-like Receptors in Antiviral Innate Immunity	2.53E00	2.95E-01	NaN	TRAF6,IKBKB,IKBKG,TRAF2,TRAF3,NFKBIA,CREBBP,TBK1,IKBKE,CHUK,CASP8,TRIM25,EP300
Angiopoietin Signaling	2.5E00	2.38E-01	NaN	AKT2,RALA,NRAS,GRB2,PIK3R1,FGFR1,RALB,FGFR2,IKBKE,CRK,KRAS,NOS3,IKBKB,IKBKG,AKT1,NFKBIA,ELP1,CHUK,STAT5B,RASA1
DNA Methylation and Transcriptional Repression Signaling	2.5E00	3.24E-01	NaN	CHD3,H3F3A/H3F3B,HDAC2,MECP2,CHD4,MTA1,MBD3,HDAC1,MTA2,RBBP7,RBBP4
Oxidative Phosphorylation	2.47E00	2.2E-01	NaN	NDUFA4,ATP5PF,ATP5PD,NDUFA9,NDUFS7,ATP5F1A,ATP5PO,NDUFB8,NDUFA13,ATP5F1E,ATP5F1C,NDUFB9,NDUFS1,ATP5F1B,NDUFS8,NDUFA11,NDUFB7,CYC1,UQCRC2,COX5A,ATPAF2,ATP5PB,UQCRQ,COX15
FcγRIIB Signaling in B Lymphocytes	2.45E00	2.35E-01	NaN	RALA,NRAS,CD79B,GRB2,PIK3R1,FGFR1,RALB,CACNB4,MAPK8,FGFR2,CD79A,KRAS,CACNB3,FCGR2B,CACNA1A,BTK,AKT1,PLCG2,CACNA2D1,LYN
CD40 Signaling	2.45E00	2.41E-01	NaN	TRAF3,ICAM1,GRB2,PIK3R1,FGFR1,MAPK8,FGFR2,IKBKE,STAT3,TRAF6,IKBKB,TRAF2,IKBKG,MAPK14,NFKBIA,MAPK3,ELP1,CHUK,TRAF1
Assembly of RNA Polymerase I Complex	2.45E00	5E-01	NaN	POLR1D,POLR1C,POLR2F,POLR1B,POLR1A,TBP
Salvage Pathways of Pyrimidine Ribonucleotides	2.45E00	2.27E-01	NaN	CDK18,AKT2,NME4,DMPK,CDADC1,UPP1,CDK6,MAPK8,MAPK6,PLK1,GRK5,PCK1,NME7,CDK1,IRAK1,CDK8,CDK5,PRPF4B,MAPK3,PRKCE,AK4,CDK2
FGF Signaling	2.45E00	2.31E-01	NaN	RAF1,PTPN6,AKT2,GRB2,PIK3R1,FGFR1,CREBBP,MAP3K1,CREB3,MAPK8,FGFR2,CRK,STAT3,ITPR1,ATF2,EP300,FGF13,MAPK14,AKT1,MAPK3,CREB1
Cysteine Biosynthesis III (mammalia)	2.43E00	3.6E-01	NaN	EEF1AKMT3,AHCYL1,SUV39H2,PRMT5,EHMT1,MAT2A,AHCYL2,MRM2,NSUN4
SAPK/JNK Signaling	2.43E00	2.18E-01	NaN	TP53,RAC2,RALA,NRAS,GRB2,PIK3R1,FGFR1,MAP3K1,RALB,MAPK8IP2,MAPK8,FGFR2,KRAS,CRK,MAP3K4,MAPK8IP3,HNRNPK,NFATC1,ATF2,GNB1,MAP3K10,TRAF2,DUSP10,MAP4K4
iCOS-iCOSL Signaling in T Helper Cells	2.42E00	2.11E-01	NaN	CD247,GAB2,HLA-A,PIK3R1,CD4,HLA-B,NFATC1,PTEN,IKBKB,IKBKG,NFKBIA,AKT1,CHUK,CAMK2B,AKT2,GRB2,FGFR1,FGFR2,IKBKE,ITPR1,CD3D,CALM1 (includes others),GRAP2,ZAP70,NFATC2,PLEKHA1
ErbB Signaling	2.42E00	2.21E-01	NaN	RPS6KB1,RAF1,RALA,NRAS,GRB2,PIK3R1,FGFR1,RALB,MAPK8,FGFR2,ERBB3,KRAS,NRG1,MTOR,MAPK14,AKT1,ERBB4,PLCG2,MAPK3,PRKCE,GSK3B,ERBB2,EGFR
TWEAK Signaling	2.42E00	3.14E-01	NaN	IKBKB,IKBKG,TRAF2,TRAF3,NFKBIA,CASP3,IKBKE,CHUK,CASP8,CASP7,TRAF1
TNFR2 Signaling	2.42E00	3.33E-01	NaN	IKBKB,IKBKG,TRAF2,NFKBIA,MAP3K1,MAPK8,TBK1,IKBKE,CHUK,TRAF1
Nucleotide Excision Repair Pathway	2.42E00	3.14E-01	NaN	POLR2G,POLR2I,POLR2F,RPA3,POLR2A,POLR2E,POLR2H,RPA1,POLR2B,RAD23B,RPA2
Acute Phase Response Signaling	2.4E00	1.93E-01	NaN	ECSIT,RAF1,TCF4,FN1,RALA,PIK3R1,KRAS,NR3C1,HNRNPK,IRAK1,IKBKB,MTOR,IKBKG,NFKBIA,AKT1,MAPK3,CHUK,AKT2,NRAS,GRB2,TNFRSF1A,MAP3K1,RALB,MAPK8,VWF,IKBKE,STAT3,TCF3,PLG,TRAF6,TRAF2,FTL,ALB,MAPK14
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	2.37E00	2.83E-01	NaN	TP53,NR2F1,SOX2,KDM5B,SPP1,PHB,FOXA1,BMI1,FOXA2,TDRD7,FBXO15,BRCA1,POU5F1
CNTF Signaling	2.34E00	2.46E-01	NaN	RPS6KB1,RAF1,RALA,NRAS,GRB2,PIK3R1,FGFR1,RALB,TYK2,FGFR2,KRAS,STAT3,MTOR,AKT1,MAPK3,RPS6KB2,RPS6KA1
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	2.32E00	1.8E-01	NaN	TCF4,AXIN1,PIK3R1,NFATC1,SMURF1,BCL2,IL1R2,IKBKB,IKBKG,AKT1,NFKBIA,DKK3,MAPK3,CHUK,GSK3B,CTNNB1,SMAD1,BMP1,ITGB1,SRC,AKT2,SPP1,SMAD9,TNFRSF1A,GRB2,FGFR1,MAPK8,FGFR2,ITGA5,DKKL1,IKBKE,TCF3,TRAF6,CALM1 (includes others),COL1A1,TRAF2,MAPK14,CBL,CSF1,NFATC2,LRP1,TCF7L2
CD28 Signaling in T Helper Cells	2.3E00	2.05E-01	NaN	CD247,ACTR2,FYN,AKT2,PTPN6,GRB2,HLA-A,FGFR1,PIK3R1,CD4,MAP3K1,HLA-B,MAPK8,FGFR2,IKBKE,ITPR1,CD3D,NFATC1,CALM1 (includes others),IKBKB,IKBKG,AKT1,NFKBIA,GRAP2,ZAP70,NFATC2,CHUK
IL-15 Signaling	2.28E00	2.32E-01	NaN	STAT6,RAF1,VCAM1,AKT2,RALA,NRAS,GRB2,PIK3R1,FGFR1,RALB,TYK2,FGFR2,KRAS,STAT3,BCL2L1,MAPK14,AKT1,MAPK3,STAT5B
IL-2 Signaling	2.28E00	2.43E-01	NaN	RAF1,CSNK2A1,AKT2,RALA,NRAS,GRB2,PIK3R1,FGFR1,RALB,MAPK8,FGFR2,KRAS,CSNK2A2,AKT1,MAPK3,CSNK2B,STAT5B
IL-12 Signaling and Production in Macrophages	2.27E00	1.99E-01	NaN	APOE,APOB,IL12RB1,PIK3R1,EP300,JMJD6,IKBKB,IKBKG,AKT1,MAPK3,PRKCE,CHUK,NOS2,PPARG,STAT6,AKT2,GRB2,FGFR1,RAB7A,MAPK8,FGFR2,IKBKE,TRAF6,ALB,MAPK14,MST1R,REL,RXRA,CLU
G Beta Gamma Signaling	2.26E00	2.08E-01	NaN	RAF1,SRC,AKT2,RALA,NRAS,GRB2,RALB,CACNB4,GNB5,KRAS,CACNB3,CACNA1A,GNB1,BTK,AKT1,MAPK3,PLCG2,KCNJ5,CACNA2D1,GNB2,PRKACA,PRKCE,CAV3,DNM2,EGFR
CD27 Signaling in Lymphocytes	2.26E00	2.64E-01	NaN	CASP3,MAP3K1,MAPK8,IKBKE,MAP3K4,IKBKB,MAP3K10,BCL2L1,TRAF2,IKBKG,NFKBIA,ELP1,CHUK,CASP8
3-phosphoinositide Biosynthesis	2.24E00	1.84E-01	NaN	FYN,PPP1R12C,MTMR9,PTPN2,PTPN23,NUDT3,PIK3R1,IGBP1,STYXL1,STYX,PPP4C,PTEN,CDC25B,SET,ATP1A1,PPP1CC,PPP1R12A,PDCD1,ERBB4,DUSP10,PTPN1,ERBB2,PPP1CA,PTPRN,RASA1,EGFR,PPFIA1,SRC,CDC25C,PTPN6,GRB2,FGFR1,FGFR2,ERBB3,DUSP14,DUSP13,PPM1H
Prolactin Signaling	2.24E00	2.25E-01	NaN	FYN,RAF1,RALA,NRAS,GRB2,PIK3R1,FGFR1,CREBBP,RALB,FGFR2,KRAS,STAT3,NR3C1,EP300,MYC,SP1,PLCG2,MAPK3,PRKCE,STAT5B
Pyridoxal 5'-phosphate Salvage Pathway	2.23E00	2.46E-01	NaN	CDK18,DMPK,AKT2,CDK6,MAPK6,MAPK8,PLK1,GRK5,CDK1,IRAK1,CDK8,CDK5,PRPF4B,MAPK3,PRKCE,CDK2
Calcium-induced T Lymphocyte Apoptosis	2.16E00	2.42E-01	NaN	CD247,HDAC2,HLA-A,CD4,HDAC1,HLA-B,ITPR1,ATP2A2,CD3D,EP300,CALM1 (includes others),ZAP70,NR4A1,NFATC2,PRKCE,CAPN2
G-Protein Coupled Receptor Signaling	2.13E00	1.7E-01	NaN	ENPP6,FYN,RAF1,RALA,VIPR2,PIK3R1,KRAS,RAPGEF4,EP300,IKBKB,IKBKG,NFKBIA,AKT1,MAPK3,CREB1,PRKCE,TDP2,CHUK,RASA1,PTGER4,FICD,ADRB2,CAMK2B,SRC,HTR6,AKT2,APLNR,PTGIR,NRAS,GRB2,GRM1,OPRM1,FGFR1,RALB,CREB3,CREBBP,RGS7,ADCY6,FPR2,FGFR2,IKBKE,STAT3,ATF2,ADRA1D,LPAR1,PTH1R,PRKACA,RPS6KA1
Cancer Drug Resistance By Drug Efflux	2.11E00	2.55E-01	NaN	TP53,RAF1,FOXO4,AKT2,RALA,NRAS,PIK3R1,RALB,KRAS,FOXG1,PTEN,AKT1,MAPK3,PDK1
Superpathway of Cholesterol Biosynthesis	2.09E00	3.21E-01	NaN	FDPS,MVD,FDFT1,EBP,ACAT1,MSMO1,HMGCR,HMGCS1,SC5D
DNA Double-Strand Break Repair by Homologous Recombination	2.09E00	4.29E-01	NaN	RAD51,RAD52,ABL1,RPA1,BRCA1,RAD50
HIF1α Signaling	2.08E00	2.02E-01	NaN	TP53,AKT2,NRAS,RALA,GRB2,COPS5,FGFR1,PIK3R1,CREBBP,RALB,MAPK6,MAPK8,FGFR2,KRAS,HIF1A,NOS3,ELOB,EP300,MAPK14,AKT1,CUL2,MAPK3,HSP90AA1,NOS2,VHL
UVA-Induced MAPK Signaling	2.08E00	2.07E-01	NaN	TP53,RPS6KB1,RALA,NRAS,CASP3,PDIA3,GRB2,PIK3R1,FGFR1,RALB,MAPK8,ZC3HAV1,FGFR2,KRAS,BCL2L1,MTOR,TNKS,MAPK14,PLCG2,MAPK3,RPS6KB2,RPS6KA1,EGFR
Fc Epsilon RI Signaling	2.04E00	2E-01	NaN	RAF1,FYN,RAC2,AKT2,RALA,NRAS,GRB2,PLA2G10,PIK3R1,FGFR1,RALB,MAPK8,FGFR2,INPPL1,KRAS,PLA2G2A,BTK,MAPK14,AKT1,GRAP2,MAPK3,PLCG2,LYN,PRKCE,INPP5K
LPS-stimulated MAPK Signaling	2.02E00	2.15E-01	NaN	RAF1,RALA,NRAS,GRB2,PIK3R1,FGFR1,RALB,MAPK8,FGFR2,IKBKE,KRAS,ATF2,IKBKB,IKBKG,MAPK14,NFKBIA,MAPK3,CREB1,PRKCE,CHUK
